2fe928f5-7186-4d73-b8a0-47eecab8c67a|A place from which a resource, e.g., a serial, is distributed|dbp|Distribution place||
97bbc7db-622c-4785-98b9-996aed0e5fec|A person or organization that has exclusive or shared marketing rights for a resource|dst|Distributor||
fb8650f3-b7ff-49a4-995e-c82e484c9310|A former owner of an item who donated that item to another owner|dnr|Donor||
c089326e-fe42-4190-9864-b9a378cc1b05|A person, family, or organization contributing to a resource by an architect, inventor, etc., by making detailed plans or drawings for buildings, ships, aircraft, machines, objects, etc|drm|Draftsman||
2403fd49-be25-415b-a4c9-0d2b2a38b01f|||UF Technical draftsman||
00742271-6437-47bb-a1c6-f4ba71af3f9a|A person or organization to which authorship has been dubiously or incorrectly ascribed|dub|Dubious author||
6c931731-e6bf-4d70-9987-be6c8cda57c9|A person, family, or organization contributing to a resource by revising or elucidating the content, e.g., adding an introduction, notes, or other critical matter. An editor may also prepare a resource for production, publication, or distribution. For major revisions, adaptations, etc., that substantially change the nature and content of the original work, resulting in a new work, see author|edt|Editor||
c6cf52af-9901-4d56-9517-f6690cd54b06|A person, family, or organization contributing to a collective or aggregate work by selecting and putting together works, or parts of works, by one or more creators. For compilations of data, information, etc., that result in new works, see compiler|edc|Editor of compilation||
2dce8433-f590-4fe9-a719-d95a204314f0|A person, family, or organization responsible for assembling, arranging, and trimming film, video, or other moving image formats, including both visual and audio aspects|edm|Editor of moving image work||
d3f07484-83e6-49b1-bd40-273d001027e7|||UF Moving image work editor||
e0e40e91-d807-485e-b8c7-eadf3c0a11a5|A person responsible for setting up a lighting rig and focusing the lights for a production, and running the lighting at a performance|elg|Electrician||
f1b943e3-7c58-4dda-a44c-e2243f8d8a65|||UF Chief electrician||
0d85f611-d07c-429e-816c-921806e10fef|||UF House electrician||
347740bd-1884-4c74-9b9d-e21fbaae09c0|||UF Master electrician||
a9441fca-6396-4f4d-b6ed-e73e97cd74f7|A person or organization who creates a duplicate printing surface by pressure molding and electrodepositing of metal that is then backed up with lead for printing|elt|Electrotyper||
103d48f4-d2ca-4637-a808-36400e24124a|A jurisdiction enacting a law, regulation, constitution, court rule, etc.|enj|Enacting jurisdiction||
30e7ee46-b49b-45b1-984a-c0422d0b6583|||Encoder||
3b6a338b-1e19-4658-9f65-e9ec64a1567a|||USE Markup editor||
51c97baa-13b5-4a9c-90de-5351db4c6f20|A person or organization that is responsible for technical planning and design, particularly with construction|eng|Engineer||
b6495ada-a48f-4ba7-85d4-9ed6e6259e97|A person or organization who cuts letters, figures, etc. on a surface, such as a wooden or metal plate used for printing|egr|Engraver||
7e3062a6-70dc-4d2c-8314-35e5e1890e45|A person or organization who produces text or images for printing by subjecting metal, glass, or some other surface to acid or the corrosive action of some other substance|etr|Etcher||
f0543082-85c3-45a7-b780-18d1382fb401|A place where an event such as a conference or a concert took place|evp|Event place||
854a916d-2ff3-44b8-ab16-e0df79f6ae06|A person or organization in charge of the description and appraisal of the value of goods, particularly rare items, works of art, etc.|exp|Expert||
